epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,312.285,0.38281,0.25828,0.87069,0.98988,0.99851,0.9949,0.93911,0.34656,0.20617,0.82967,0.000346736,0.000346736,0.000346736
98,315.503,0.38906,0.2625,0.87443,0.99952,0.9898,0.9949,0.9502,0.33054,0.19507,0.82971,0.000332983,0.000332983,0.000332983
99,318.684,0.36917,0.24366,0.8658,1,0.98843,0.9948,0.94314,0.34801,0.19737,0.82939,0.000319231,0.000319231,0.000319231
100,321.997,0.38197,0.24899,0.87152,1,0.98655,0.9947,0.93706,0.34557,0.19971,0.83127,0.000305478,0.000305478,0.000305478
101,325.131,0.397,0.26465,0.88308,0.99961,0.9898,0.99461,0.93983,0.3315,0.19226,0.82877,0.000291725,0.000291725,0.000291725
102,328.254,0.37947,0.25138,0.86938,0.99663,0.9898,0.9947,0.93739,0.33136,0.18803,0.82969,0.000277972,0.000277972,0.000277972
103,331.283,0.36997,0.24032,0.87176,0.9902,0.9898,0.9947,0.9432,0.3245,0.18961,0.83016,0.00026422,0.00026422,0.00026422
104,334.379,0.3817,0.24951,0.88157,1,0.98944,0.9947,0.9399,0.31939,0.18769,0.82857,0.000250467,0.000250467,0.000250467
105,337.446,0.38057,0.24033,0.87017,1,0.98807,0.9947,0.95025,0.32094,0.19296,0.82998,0.000236714,0.000236714,0.000236714
106,340.523,0.38195,0.25263,0.86994,0.99527,0.9898,0.9948,0.94825,0.32491,0.19187,0.82975,0.000222961,0.000222961,0.000222961
107,343.958,0.37323,0.24405,0.86816,0.99881,0.9898,0.9949,0.95113,0.32161,0.19136,0.82777,0.000209209,0.000209209,0.000209209
108,347.205,0.35644,0.23811,0.85998,0.99883,0.9898,0.9948,0.94459,0.32529,0.18784,0.82542,0.000195456,0.000195456,0.000195456
109,350.307,0.36436,0.23418,0.86468,0.99227,0.9898,0.99461,0.94393,0.3206,0.18166,0.82274,0.000181703,0.000181703,0.000181703
